#node time(s) x y
2 40 0 0
1 41 0 0
1 42 1 0
1 43 2 0
1 44 3 0
1 45 4 0
1 46 5 0
1 47 6 0
1 48 7 0
1 49 7 0
1 50 9 0
1 51 10 0
1 52 11 0
1 53 12 0
1 54 13 0
1 55 14 0
1 56 15 0
1 57 16 0
1 58 17 0
1 59 18 0
1 60 19 0
1 61 20 0
1 62 21 0
1 63 22 0
1 64 23 0
1 65 24 0
1 66 25 0
1 67 26 0
1 68 27 0
1 69 28 0
1 70 29 0
1 71 30 0
1 72 31 0
1 73 32 0
1 74 33 0
1 75 34 0
1 76 35 0
1 77 36 0
1 78 37 0
1 79 38 0
1 80 39 0
1 81 40 0
1 82 41 0
1 83 42 0
1 84 43 0
1 85 44 0
1 86 45 0
1 87 46 0
1 88 47 0
1 89 48 0
1 90 49 0
1 91 50 0
1 92 51 0
1 93 52 0
1 94 53 0
1 95 54 0
1 96 55 0
1 97 56 0
1 98 57 0
1 99 58 0
1 100 59 0
1 101 60 0
1 102 61 0
1 103 62 0
1 104 63 0
1 105 64 0
1 106 65 0
1 107 66 0
1 108 67 0
1 109 68 0
1 110 69 0
1 111 70 0
1 112 71 0
1 113 72 0
1 114 73 0
1 115 74 0
1 116 75 0
1 117 76 0
1 118 77 0
1 119 78 0
1 120 79 0
1 121 80 0
1 122 81 0
1 123 82 0
1 124 83 0
1 125 84 0
1 126 85 0
1 127 86 0
1 128 87 0
1 129 88 0
1 130 89 0
1 131 90 0
1 132 91 0
1 133 92 0
1 134 93 0
1 135 94 0
1 136 95 0
1 137 96 0
1 138 97 0
1 139 98 0
1 140 99 0
1 141 100 0


