#node time(s) x y
2 2 0 0
1 4 0 0
1 6 0 0
1 8 1 0
1 10 2 0
1 12 3 0
2 13 0 0
1 14 4 0
1 16 5 0
1 18 6 0
1 20 7 0
2 21 0 0
1 22 8 0
1 24 9 0
1 26 10 0
1 28 11 0
1 30 12 0
1 32 13 0
1 34 14 0
1 36 15 0
1 38 16 0
1 40 17 0
1 42 18 0
1 44 19 0
2 45 0 0
1 46 20 0
1 48 21 0
1 50 22 0
1 52 23 0
1 54 24 0
1 56 25 0
1 58 26 0
2 59 0 0
1 60 27 0
1 62 28 0
1 64 29 0
1 66 30 0
1 68 31 0
1 70 32 0
1 72 33 0
1 74 34 0
1 76 35 0
1 78 36 0
1 80 37 0
1 82 38 0
1 84 39 0
1 86 40 0
1 88 41 0
1 90 42 0
2 91 0 0
1 92 43 0
1 94 44 0
1 96 45 0
1 98 46 0
1 100 47 0
1 102 48 0
1 104 49 0
1 106 50 0
1 108 51 0
1 110 52 0
1 112 53 0
1 114 54 0
1 116 55 0
1 118 56 0
1 120 57 0
1 122 58 0
1 124 59 0
1 126 60 0
1 128 61 0
1 130 62 0
1 132 63 0
1 134 64 0
1 136 65 0
1 138 66 0
1 140 67 0
1 142 68 0
1 144 69 0
1 146 70 0
1 148 71 0
1 150 72 0
1 152 73 0
1 154 74 0
1 156 75 0
1 158 76 0
1 160 77 0
1 162 78 0
1 164 79 0
1 166 80 0
1 168 81 0
1 170 82 0
1 172 83 0
1 174 84 0
1 176 85 0
1 178 86 0
1 180 87 0
1 182 88 0
1 184 89 0
1 186 90 0
1 188 91 0
1 190 92 0
1 192 93 0
1 194 94 0
1 196 95 0
1 198 96 0
1 200 97 0
1 202 98 0
1 204 99 0
1 206 100 0


